date,summ,Квартира,s1,Харчування,s2,Транспорт,s3,Інтернет,s4,Мобільний звязок,s5,Одежа,s6,Медикаменти,s7,Покупка техніки,s8,Відпочинок і подорожі,s9,Подарунки и дні народження,s10,Інше,s11,Автомобіль,s12,Навчання,s13,Дохід,s14
2-янв.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,4355
3-янв.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-янв.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-янв.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-янв.-2014,"57,70",,,чай +обід,"10,70",Білет до Братислави,"45,00",,,,,,,,,,,,,,,покупки,"2,00",,,,,,
7-янв.-2014,"20,00",,,,,,,,,Orange dobitije kredytu,"20,00",,,,,,,,,,,,,,,,,,
8-янв.-2014,"19,49",,,"obed(6.30) hrusky(1,19) caj(2)","9,49",,,,,,,,,,,,,,,,,nakupy,"10,00",,,,,,
9-янв.-2014,"52,38",,,,,Cestovne listky,"52,38",,,,,,,,,,,,,,,,,,,,,,
10-янв.-2014,"12,90",,,Obed,"11,50",MHD,"1,40",,,,,,,,,,,,,,,,,,,,,,
11-янв.-2014,"1 145,00","Najomne
(400+440+298)","1 138,00",,,,,,,,,,,,,,,,,,, nakupy,"7,00",,,,,,
12-янв.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-янв.-2014,"43,98",,,"kave+tea(918Ft)
Billa(18,57Eur)","21,57",ematrica(2975Ft),"9,76",,,,,saty,"12,00",,,,,,,,,WC(200Ft),"0,65",,,,,,
14-янв.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-янв.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-янв.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-янв.-2014,"34,95",,,,,Benzin(10652Ft),"34,95",,,,,,,,,,,,,,,,,,,,,,
18-янв.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-янв.-2014,"2,20",,,obed,"2,20",,,,,,,,,,,,,,,,,,,,,,,,
20-янв.-2014,"16,00",,,Billa,"5,00",,,,,,,,,,,,,,,,,Ikea,"11,00",,,,,,
21-янв.-2014,"8,19",,,Lidl,"8,19",,,,,,,,,,,,,,,,,,,,,,,,
22-янв.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-янв.-2014,"3,60",,,Obed Myr,"3,60",,,,,,,,,,,,,,,,,,,,,,,,
24-янв.-2014,"460,52",Najomne,"440,00",,,,,,,Julia Orange,"8,00",,,,,,,,,,,"do kupelky(5.13), rozne drobnosty (7.39)","12,52",,,,,,
25-янв.-2014,"15,46",,,Lidl,"15,46",,,,,,,,,,,,,,,,,,,,,,,,
26-янв.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-янв.-2014,"2,84",,,Billa,"2,84",,,,,,,,,,,,,,,,,,,,,,,,
28-янв.-2014,"11,36",,,Lidl,"11,36",,,,,,,,,,,,,,,,,,,,,,,,
29-янв.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-янв.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-янв.-2014,"5,62",,,Lidl,"5,62",,,,,,,,,,,,,,,,,,,,,,,,
Январь,,,"1 578,00",,"107,53",,"143,49",,"0,00",,"28,00",,"12,00",,"0,00",,"0,00",,"0,00",,"0,00",,"43,17",,"0,00",,,,
1-февр.-2014,"46,67",,,Tesco,"3,73",Elektricka,"1,4",,,,,,,,,"Утюг(7,99) Мишка(2,99) Термометр(7,49)","18,47",,,,,"Vedro(9.49) тройник(1,79) стакан для ручок(1,0) терка(2,99) лампочки(4*1,0) средство для миття плитки(1,85) ","23,07",,,,,,1200
2-февр.-2014,"8,68",,,Lidl,"0,99",,,,,,,Saty,"5,96",,,Батарейки,"1,73",,,,,,,,,,,,
3-февр.-2014,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-февр.-2014,"13,14",,,Lidl,"13,14",,,,,,,,,,,,,,,,,,,,,,,,
